timestamp,cycle_number,cleared_vehicles,total_vehicles,avg_wait,green_duration,efficiency,throughput
05:30:08,1,0,13,229.5,5.0,0.0,0
05:30:16,2,1,17,326.94642857142856,5.6,-16.680672268907564,7.881255746748981
05:30:23,3,4,26,328.63717532467535,5.7,-12.832167832167832,31.128404669260703
05:30:31,4,2,29,401.56060606060606,6.1,-14.529780564263323,14.798372179060303
05:30:08,1,0,13,229.5,5.0,0.0,0
05:30:16,2,1,17,326.94642857142856,5.6,-16.680672268907564,7.881255746748981
05:30:23,3,4,26,328.63717532467535,5.7,-12.832167832167832,31.128404669260703
05:30:31,4,2,29,401.56060606060606,6.1,-14.529780564263323,14.798372179060303
05:30:39,5,1,31,406.9028409090909,6.1,-19.809384164222873,7.401924500370097
05:30:48,6,0,36,477.9404761904762,6.1,-21.666666666666668,0.0
05:30:56,7,0,36,475.48125,6.5,-22.5,0.0
05:31:05,8,1,32,454.1764705882353,7.0,-22.90441176470588,6.664445184938354
05:30:08,1,0,13,229.5,5.0,0.0,0
05:30:16,2,1,17,326.94642857142856,5.6,-16.680672268907564,7.881255746748981
05:30:23,3,4,26,328.63717532467535,5.7,-12.832167832167832,31.128404669260703
05:30:31,4,2,29,401.56060606060606,6.1,-14.529780564263323,14.798372179060303
05:30:39,5,1,31,406.9028409090909,6.1,-19.809384164222873,7.401924500370097
05:30:48,6,0,36,477.9404761904762,6.1,-21.666666666666668,0.0
05:30:56,7,0,36,475.48125,6.5,-22.5,0.0
05:31:05,8,1,32,454.1764705882353,7.0,-22.90441176470588,6.664445184938354
05:31:14,9,0,30,493.9970238095238,6.7,-21.42857142857143,0.0
05:31:22,10,1,31,513.7166666666667,6.4,-11.85483870967742,7.13436385255648
05:31:30,11,2,36,470.1071428571429,6.0,-20.76388888888889,14.979403320434404
05:31:35,12,8,37,372.80734265734264,3.0,-1.4449064449064437,95.71286141575276
05:30:08,1,0,13,229.5,5.0,0.0,0
05:30:16,2,1,17,326.94642857142856,5.6,-16.680672268907564,7.881255746748981
05:30:23,3,4,26,328.63717532467535,5.7,-12.832167832167832,31.128404669260703
05:30:31,4,2,29,401.56060606060606,6.1,-14.529780564263323,14.798372179060303
05:30:39,5,1,31,406.9028409090909,6.1,-19.809384164222873,7.401924500370097
05:30:48,6,0,36,477.9404761904762,6.1,-21.666666666666668,0.0
05:30:56,7,0,36,475.48125,6.5,-22.5,0.0
05:31:05,8,1,32,454.1764705882353,7.0,-22.90441176470588,6.664445184938354
05:31:14,9,0,30,493.9970238095238,6.7,-21.42857142857143,0.0
05:31:22,10,1,31,513.7166666666667,6.4,-11.85483870967742,7.13436385255648
05:31:30,11,2,36,470.1071428571429,6.0,-20.76388888888889,14.979403320434404
05:31:35,12,8,37,372.80734265734264,3.0,-1.4449064449064437,95.71286141575276
