timestamp,cycle_number,cleared_vehicles,total_vehicles,avg_wait,green_duration,efficiency,throughput
05:30:08,1,0,11,172.25,5.0,0.0,0
05:30:15,2,1,20,254.33035714285714,5.4,-20.875,8.101539292465569
05:30:23,3,0,31,335.8125,5.8,-25.0,0.0
05:30:32,4,0,31,366.1428571428571,6.6,-23.75,0.0
05:30:08,1,0,11,172.25,5.0,0.0,0
05:30:15,2,1,20,254.33035714285714,5.4,-20.875,8.101539292465569
05:30:23,3,0,31,335.8125,5.8,-25.0,0.0
05:30:32,4,0,31,366.1428571428571,6.6,-23.75,0.0
05:30:41,5,1,26,390.49107142857144,7.0,-20.064102564102566,6.6540978152378845
05:30:49,6,1,26,371.4086538461538,6.2,-22.307692307692307,7.143707584236219
05:30:58,7,1,34,408.8757575757576,6.3,-19.41176470588235,7.214139713839124
05:31:06,8,1,35,435.4110119047619,6.5,-19.07142857142857,7.047216349541932
05:30:08,1,0,11,172.25,5.0,0.0,0
05:30:15,2,1,20,254.33035714285714,5.4,-20.875,8.101539292465569
05:30:23,3,0,31,335.8125,5.8,-25.0,0.0
05:30:32,4,0,31,366.1428571428571,6.6,-23.75,0.0
05:30:41,5,1,26,390.49107142857144,7.0,-20.064102564102566,6.6540978152378845
05:30:49,6,1,26,371.4086538461538,6.2,-22.307692307692307,7.143707584236219
05:30:58,7,1,34,408.8757575757576,6.3,-19.41176470588235,7.214139713839124
05:31:06,8,1,35,435.4110119047619,6.5,-19.07142857142857,7.047216349541932
05:31:15,9,3,33,473.6534090909091,6.4,-14.84848484848485,21.415823914336706
05:31:23,10,1,36,515.6577991452991,6.2,-16.75213675213675,7.306380905991232
05:31:31,11,1,39,473.91269841269843,6.3,-20.915750915750916,7.219347852244014
05:31:36,12,0,42,364.3595238095238,3.0,50.0,0.0
05:31:41,13,8,45,330.6360294117647,3.0,-6.738562091503267,95.69377990430623
05:30:08,1,0,11,172.25,5.0,0.0,0
05:30:15,2,1,20,254.33035714285714,5.4,-20.875,8.101539292465569
05:30:23,3,0,31,335.8125,5.8,-25.0,0.0
05:30:32,4,0,31,366.1428571428571,6.6,-23.75,0.0
05:30:41,5,1,26,390.49107142857144,7.0,-20.064102564102566,6.6540978152378845
05:30:49,6,1,26,371.4086538461538,6.2,-22.307692307692307,7.143707584236219
05:30:58,7,1,34,408.8757575757576,6.3,-19.41176470588235,7.214139713839124
05:31:06,8,1,35,435.4110119047619,6.5,-19.07142857142857,7.047216349541932
05:31:15,9,3,33,473.6534090909091,6.4,-14.84848484848485,21.415823914336706
05:31:23,10,1,36,515.6577991452991,6.2,-16.75213675213675,7.306380905991232
05:31:31,11,1,39,473.91269841269843,6.3,-20.915750915750916,7.219347852244014
05:31:36,12,0,42,364.3595238095238,3.0,50.0,0.0
05:31:41,13,8,45,330.6360294117647,3.0,-6.738562091503267,95.69377990430623
05:31:46,14,3,43,349.7685606060606,3.0,-16.1046511627907,35.9496704613541
05:31:51,15,5,51,408.56651785714286,3.0,-13.03921568627451,59.86828976252245
05:31:56,16,11,51,358.07261904761907,3.0,-1.2418300653594763,131.89448441247004
05:32:01,17,6,49,342.87605042016804,3.0,-12.256902761104442,71.8993409227082
05:32:06,18,6,47,404.5423611111111,3.0,-11.196808510638299,71.91370355573311
05:32:11,19,6,52,362.8054653679654,3.0,-14.737762237762238,71.92807192807193
05:30:08,1,0,11,172.25,5.0,0.0,0
