timestamp,cycle_number,cleared_vehicles,total_vehicles,avg_wait,green_duration,efficiency,throughput
05:30:07,1,0,12,191.0,5.0,0.0,0
05:30:15,2,0,24,320.875,5.6,-22.5,0.0
05:30:23,3,0,31,421.75757575757575,6.0,-20.833333333333336,0.0
05:30:31,4,0,34,486.375,6.2,-22.22222222222222,0.0
05:30:07,1,0,12,191.0,5.0,0.0,0
05:30:15,2,0,24,320.875,5.6,-22.5,0.0
05:30:23,3,0,31,421.75757575757575,6.0,-20.833333333333336,0.0
05:30:31,4,0,34,486.375,6.2,-22.22222222222222,0.0
05:30:40,5,0,31,443.3970588235294,6.8,-23.52941176470588,0.0
05:30:49,6,0,30,402.9715909090909,6.7,-25.0,0.0
05:30:57,7,3,30,460.0785714285714,6.6,-12.583333333333332,20.903495528974567
05:31:06,8,1,33,422.6951923076923,6.2,-20.547785547785548,7.3081607795371495
05:30:07,1,0,12,191.0,5.0,0.0,0
05:30:15,2,0,24,320.875,5.6,-22.5,0.0
05:30:23,3,0,31,421.75757575757575,6.0,-20.833333333333336,0.0
05:30:31,4,0,34,486.375,6.2,-22.22222222222222,0.0
05:30:40,5,0,31,443.3970588235294,6.8,-23.52941176470588,0.0
05:30:49,6,0,30,402.9715909090909,6.7,-25.0,0.0
05:30:57,7,3,30,460.0785714285714,6.6,-12.583333333333332,20.903495528974567
05:31:06,8,1,33,422.6951923076923,6.2,-20.547785547785548,7.3081607795371495
05:31:14,9,0,35,507.43560606060606,6.3,-19.642857142857142,0.0
05:31:22,10,0,40,510.2453416149068,6.4,-23.91304347826087,0.0
05:31:32,11,2,32,498.76307189542484,7.3,-19.338235294117645,12.88659793814433
05:31:37,12,7,31,461.59027777777777,3.0,54.516129032258064,83.96641343462616
